filename,shortcode,post_url,media_type,width,height,caption_or_alt,category
7m-0001.jpg,DbZrEFWoKWB,https://www.instagram.com/p/DbZrEFWoKWB/,p,1080,1350,"Photo by Paket Wedding Jakarta Bali Singapore on July 29, 2026. May be an image of magazine, poster and text that says 'LIMITED LUMITED OFFER TIME Lumire HOTEL AND CONVENTION CENTE",promo
7m-0002.jpg,DbVbE-NoE2K,https://www.instagram.com/p/DbVbE-NoE2K/,p,1080,1350,"Photo by Paket Wedding Jakarta Bali Singapore on July 28, 2026. May be an image of magazine, poster, wedding and text that says 'Lumire HOTEL AND CONVENTION CENTER THE EVER AFTER B",promo
7m-0003.jpg,DbBD_l0IH2y,https://www.instagram.com/p/DbBD_l0IH2y/,p,1080,1350,"Photo by Paket Wedding Jakarta Bali Singapore on July 20, 2026. May be an image of magazine, wedding and text that says 'Wedding WeddingMarket Market Fair 24-26 July 2026 Balai lai",promo
7m-0004.jpg,Da9Fc_AkuSW,https://www.instagram.com/p/Da9Fc_AkuSW/,p,1080,1350,"Photo by Paket Wedding Jakarta Bali Singapore on July 18, 2026. May be an image of magazine and text that says 'Weddingl WeddingMarket Market Fair 24 24-26 26 July 2026 BOOTH K5 Ba",promo
7m-0005.jpg,DaMnF1hi5fn,https://www.instagram.com/reel/DaMnF1hi5fn/,reel,1080,1920,"Two different worlds, one shared path. Crossing paths under the Australian sky, promising a forever on the beautiful shores of Bali. Here is a sneak peek into the breathtaking unio",reel-review
7m-0006.jpg,DX1OURHCVvO,https://www.instagram.com/p/DX1OURHCVvO/,p,1440,1800,"Photo shared by Paket Wedding Jakarta Bali Singapore on May 02, 2026 tagging @mercurejakartasabang.",review
7m-0007.jpg,DX0mv9AJcRN,https://www.instagram.com/reel/DX0mv9AJcRN/,reel,480,854,"✨ Mingle, Chat & Celebrate — Intimate Unveil at Mercure Jakarta Sabang ✨ Plan your wedding beautifully with @mercurejakartasabang and your best friend pro @7magicorganizer. 📅 Sa",reel-review
7m-0008.jpg,DXGkbXwCU7Z,https://www.instagram.com/reel/DXGkbXwCU7Z/,reel,480,854,"Wedding Market is calling! 🔔 Our signature promo is BACK exclusively at @weddingmarket_id. Get the best deals for your big day in Jakarta, Bali and Singapore. Don't miss out! Call",promo
7m-0009.jpg,DW5O4QYgufu,https://www.instagram.com/reel/DW5O4QYgufu/,reel,1920,1080,Wedding of Taffy & Cindy @taffy.ghozali & @cindy.cigo Venue Deal by #7magicorganizer Planner & Organizer @7magicorganizer Venue @lemeridienjkt Documentation @khayalan.pictures ,showcase
7m-0010.jpg,DW3j1ztCVjg,https://www.instagram.com/p/DW3j1ztCVjg/,p,1080,1350,"Photo by Paket Wedding Jakarta Bali Singapore on April 08, 2026.",review
7m-0011.jpg,DW3hhGQCVZ3,https://www.instagram.com/p/DW3hhGQCVZ3/,p,1080,1350,"Photo by Paket Wedding Jakarta Bali Singapore on April 08, 2026.",review
